song,valence,arousal,affectcat,songmark,n,arousalkey.keys_raw,,arousalkey.rt_mean,arousalkey.rt_raw,,arousalkey.rt_std,likekey.keys_raw,,likekey.rt_mean,likekey.rt_raw,,likekey.rt_std,valencekey.keys_raw,,valencekey.rt_mean,valencekey.rt_raw,,valencekey.rt_std,order,
30MonoWAV/30MonoF1.wav,1,2,2,1,2.0,'4', '1',6.0373945236206055,7.634490966796875, 4.440298557281494,2.2586351131829487,'1', '1',81.50212860107422,161.9355926513672, 1.0686675310134888,113.75009362123069,'1', '1',2.68485426902771,4.534237384796143, 0.8354712724685669,2.6154226000498335,0.0, 23.0
30MonoWAV/30MonoF2.wav,1,2,2,2,2.0,'2', '1',8.101655006408691,14.367915153503418, 1.8353949785232544,8.861830001085691,'1', '1',1.0433512926101685,1.1517647504806519, 0.9349378943443298,0.15331974031735907,'1', '1',0.7519086003303528,0.9849860668182373, 0.5188311338424683,0.3296213141907269,5.0, 24.0
30MonoWAV/30MonoF3.wav,1,2,2,3,2.0,'2', '1',8.378671646118164,8.872625350952148, 7.88471794128418,0.6985560285606573,'1', '1',1.0430492162704468,1.6343473196029663, 0.45175114274024963,0.836221776064913,'1', '1',0.9768010377883911,1.0182653665542603, 0.9353367686271667,0.05863937394855563,4.0, 28.0
30MonoWAV/30MonoF4.wav,1,2,2,4,2.0,'4', '1',5.685266017913818,9.70052433013916, 1.6700079441070557,5.678432592992991,'1', '1',1.0602872371673584,1.0685596466064453, 1.052014946937561,0.01169886932886658,'1', '1',1.2595504522323608,1.9843976497650146, 0.5347031950950623,1.0250887795456585,3.0, 25.0
30MonoWAV/30MonoH1.wav,2,2,1,5,2.0,'3', '3',4.058460712432861,4.667357444763184, 3.44956374168396,0.8611101855336125,'3', '3',1.9347257614135742,1.2845629453659058, 2.5848886966705322,0.9194691564989975,'3', '3',1.6766488552093506,2.151754379272461, 1.2015432119369507,0.6719007599821298,10.0, 26.0
30MonoWAV/30MonoH2.wav,2,2,1,6,2.0,'2', '3',4.629458427429199,5.857930660247803, 3.400986671447754,1.7373217554760723,'2', '2',2.6185717582702637,3.0187621116638184, 2.21838116645813,0.5659547938874661,'2', '3',3.76749324798584,2.8003814220428467, 4.734604835510254,1.3677024919926055,2.0, 18.0
30MonoWAV/30MonoH3.wav,2,2,1,7,2.0,'3', '3',5.0534467697143555,5.868362903594971, 4.23853063583374,1.152465448730615,'3', '3',1.9848482608795166,2.518123149871826, 1.4515732526779175,0.7541646647796327,'3', '4',2.475677490234375,1.5166757106781006, 3.4346790313720703,1.356233154401033,8.0, 16.0
30MonoWAV/30MonoH4.wav,2,2,1,8,2.0,'5', '4',4.021181106567383,4.001882553100586, 4.0404791831970215,0.02729193887422116,'4', '4',1.8018288612365723,2.118224620819092, 1.4854329824447632,0.44745125857264123,'5', '5',1.7338227033615112,1.3179800510406494, 2.149665355682373,0.5880903187253624,6.0, 29.0
30MonoWAV/30MonoS1.wav,1,1,3,9,2.0,'1', '1',5.150989532470703,4.251955032348633, 6.050023555755615,1.2714264459392046,'2', '3',2.8763504028320312,3.634880542755127, 2.1178200244903564,1.0727237799354108,'1', '1',2.6594715118408203,1.7008572816848755, 3.6180858612060547,1.3556853296640805,7.0, 20.0
30MonoWAV/30MonoS2.wav,1,1,3,10,2.0,'1', '1',4.06825065612793,4.018289566040039, 4.11821174621582,0.07065565119323894,'4', '3',4.559821605682373,6.18485164642334, 2.9347915649414062,2.2981395228795787,'1', '1',2.5598182678222656,1.2682998180389404, 3.8513364791870117,1.8264827391512675,11.0, 17.0
