Instruction,Word,n,WordResponse.keys_raw,WordResponse.rt_mean,WordResponse.rt_raw,WordResponse.rt_std,order
To what extent did the music make you feel ,SAD,1.0,'1',1.4197994470596313,1.4197994470596313,0.0,4.0
To what extent did the music make you feel ,ANXIOUS ,1.0,'1',1.634772777557373,1.634772777557373,0.0,7.0
To what extent did the music make you feel ,ANGRY,1.0,'1',1.5238533020019531,1.5238533020019531,0.0,5.0
To what extent did the music make you feel ,FRUSTRATED,1.0,'1',2.5543057918548584,2.5543057918548584,0.0,2.0
To what extent did the music make you feel ,ASHAMED,1.0,'1',6.057256698608398,6.057256698608398,0.0,0.0
To what extent did the music make you feel ,GUILTY,1.0,'1',1.434911847114563,1.434911847114563,0.0,8.0
To what extent did the music make you feel ,HAPPY,1.0,'3',4.451375484466553,4.451375484466553,0.0,9.0
To what extent did the music make you feel ,EXCITED,1.0,'2',1.937831163406372,1.937831163406372,0.0,1.0
To what extent did the music make you feel ,ALERT,1.0,'1',1.1515368223190308,1.1515368223190308,0.0,10.0
To what extent did the music make you feel ,ACTIVE,1.0,'1',1.534990668296814,1.534990668296814,0.0,11.0
To what extent did the music make you feel ,TENDER,1.0,'4',3.551683187484741,3.551683187484741,0.0,6.0
To what extent did the music make you feel ,SCARED,1.0,'1',1.0687862634658813,1.0687862634658813,0.0,3.0

extraInfo
participant,053
session,001
date,2019_May_21_1106
expName,MusicAffectPsychophysiology2019
psychopyVersion,3.0.5
frameRate,59.9769302340046
