Instruction,Word,pracwords.thisRepN,pracwords.thisTrialN,pracwords.thisN,pracwords.thisIndex,songtrials.thisRepN,songtrials.thisTrialN,songtrials.thisN,songtrials.thisIndex,song,valence,arousal,affectcat,songmark,begin.keys,begin.rt,arousalkey.keys,arousalkey.rt,valencekey.keys,valencekey.rt,likekey.keys,likekey.rt,WordResponse.keys,WordResponse.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,return,25.23319991500466,,,,,,,,,088,001,2019_Aug_28_1622,MusicAffectPsychophysiology2019,3.0.5,60.00912654947098,
,,,,,,,,,,,,,,,,,2,9.017595749988686,,,,,,,088,001,2019_Aug_28_1622,MusicAffectPsychophysiology2019,3.0.5,60.00912654947098,
,,,,,,,,,,,,,,,,,,,3,8.818213218997698,,,,,088,001,2019_Aug_28_1622,MusicAffectPsychophysiology2019,3.0.5,60.00912654947098,
,,,,,,,,,,,,,,,,,,,,,2,4.3856389240245335,,,088,001,2019_Aug_28_1622,MusicAffectPsychophysiology2019,3.0.5,60.00912654947098,
To what extent did the music make you feel ,EXCITED,0,0,0,7,,,,,,,,,,,,,,,,,,1,9.807233908009948,088,001,2019_Aug_28_1622,MusicAffectPsychophysiology2019,3.0.5,60.00912654947098,
To what extent did the music make you feel ,ANGRY,0,1,1,2,,,,,,,,,,,,,,,,,,1,1.0504307480005082,088,001,2019_Aug_28_1622,MusicAffectPsychophysiology2019,3.0.5,60.00912654947098,
To what extent did the music make you feel ,ALERT,0,2,2,8,,,,,,,,,,,,,,,,,,1,1.252891107025789,088,001,2019_Aug_28_1622,MusicAffectPsychophysiology2019,3.0.5,60.00912654947098,
To what extent did the music make you feel ,GUILTY,0,3,3,5,,,,,,,,,,,,,,,,,,1,1.5004864190123044,088,001,2019_Aug_28_1622,MusicAffectPsychophysiology2019,3.0.5,60.00912654947098,
To what extent did the music make you feel ,ANXIOUS ,0,4,4,1,,,,,,,,,,,,,,,,,,1,1.418763706984464,088,001,2019_Aug_28_1622,MusicAffectPsychophysiology2019,3.0.5,60.00912654947098,
To what extent did the music make you feel ,FRUSTRATED,0,5,5,3,,,,,,,,,,,,,,,,,,1,1.1884511499956716,088,001,2019_Aug_28_1622,MusicAffectPsychophysiology2019,3.0.5,60.00912654947098,
To what extent did the music make you feel ,HAPPY,0,6,6,6,,,,,,,,,,,,,,,,,,2,2.8697680690092966,088,001,2019_Aug_28_1622,MusicAffectPsychophysiology2019,3.0.5,60.00912654947098,
To what extent did the music make you feel ,TENDER,0,7,7,10,,,,,,,,,,,,,,,,,,1,2.2679493380128406,088,001,2019_Aug_28_1622,MusicAffectPsychophysiology2019,3.0.5,60.00912654947098,
To what extent did the music make you feel ,SCARED,0,8,8,11,,,,,,,,,,,,,,,,,,1,1.3032919300021604,088,001,2019_Aug_28_1622,MusicAffectPsychophysiology2019,3.0.5,60.00912654947098,
To what extent did the music make you feel ,SAD,0,9,9,0,,,,,,,,,,,,,,,,,,1,0.7527471920184325,088,001,2019_Aug_28_1622,MusicAffectPsychophysiology2019,3.0.5,60.00912654947098,
To what extent did the music make you feel ,ASHAMED,0,10,10,4,,,,,,,,,,,,,,,,,,1,1.0202202619984746,088,001,2019_Aug_28_1622,MusicAffectPsychophysiology2019,3.0.5,60.00912654947098,
To what extent did the music make you feel ,ACTIVE,0,11,11,9,,,,,,,,,,,,,,,,,,1,1.8040458190080244,088,001,2019_Aug_28_1622,MusicAffectPsychophysiology2019,3.0.5,60.00912654947098,
