Instruction,Word,n,WordResponse.keys_raw,WordResponse.rt_mean,WordResponse.rt_raw,WordResponse.rt_std,order
To what extent did the music make you feel ,SAD,1.0,'4',1.6097631454467773,1.6097631454467773,0.0,4.0
To what extent did the music make you feel ,ANXIOUS ,1.0,'1',1.8643267154693604,1.8643267154693604,0.0,3.0
To what extent did the music make you feel ,ANGRY,1.0,'1',1.2356598377227783,1.2356598377227783,0.0,5.0
To what extent did the music make you feel ,FRUSTRATED,1.0,'1',1.9601112604141235,1.9601112604141235,0.0,1.0
To what extent did the music make you feel ,ASHAMED,1.0,'1',1.2190784215927124,1.2190784215927124,0.0,11.0
To what extent did the music make you feel ,GUILTY,1.0,'1',1.2529224157333374,1.2529224157333374,0.0,2.0
To what extent did the music make you feel ,HAPPY,1.0,'2',2.4518380165100098,2.4518380165100098,0.0,7.0
To what extent did the music make you feel ,EXCITED,1.0,'2',3.0336713790893555,3.0336713790893555,0.0,10.0
To what extent did the music make you feel ,ALERT,1.0,'2',3.436159133911133,3.436159133911133,0.0,9.0
To what extent did the music make you feel ,ACTIVE,1.0,'2',1.9832683801651,1.9832683801651,0.0,6.0
To what extent did the music make you feel ,TENDER,1.0,'3',6.346047401428223,6.346047401428223,0.0,0.0
To what extent did the music make you feel ,SCARED,1.0,'1',1.601767897605896,1.601767897605896,0.0,8.0

extraInfo
participant,089
session,001
date,2019_Aug_29_0913
expName,MusicAffectPsychophysiology2019
psychopyVersion,3.0.5
frameRate,60.007318496595744
