Instruction,Word,n,WordResponse.keys_raw,WordResponse.rt_mean,WordResponse.rt_raw,WordResponse.rt_std,order
To what extent did the music make you feel ,SAD,1.0,'2',2.2237026691436768,2.2237026691436768,0.0,0.0
To what extent did the music make you feel ,ANXIOUS ,1.0,'2',1.8527530431747437,1.8527530431747437,0.0,2.0
To what extent did the music make you feel ,ANGRY,1.0,'1',1.2193818092346191,1.2193818092346191,0.0,10.0
To what extent did the music make you feel ,FRUSTRATED,1.0,'1',1.0232990980148315,1.0232990980148315,0.0,1.0
To what extent did the music make you feel ,ASHAMED,1.0,'1',1.0690158605575562,1.0690158605575562,0.0,7.0
To what extent did the music make you feel ,GUILTY,1.0,'1',0.7694510221481323,0.7694510221481323,0.0,9.0
To what extent did the music make you feel ,HAPPY,1.0,'1',0.868258535861969,0.868258535861969,0.0,11.0
To what extent did the music make you feel ,EXCITED,1.0,'1',1.1675786972045898,1.1675786972045898,0.0,5.0
To what extent did the music make you feel ,ALERT,1.0,'4',4.968930244445801,4.968930244445801,0.0,4.0
To what extent did the music make you feel ,ACTIVE,1.0,'3',1.9361227750778198,1.9361227750778198,0.0,6.0
To what extent did the music make you feel ,TENDER,1.0,'1',0.736067533493042,0.736067533493042,0.0,8.0
To what extent did the music make you feel ,SCARED,1.0,'2',0.8186517953872681,0.8186517953872681,0.0,3.0

extraInfo
participant,092
session,001
date,2019_Aug_29_1308
expName,MusicAffectPsychophysiology2019
psychopyVersion,3.0.5
frameRate,60.03105658378838
﻿Instruction,Word,n,WordResponse.keys_raw,WordResponse.rt_mean,WordResponse.rt_raw,WordResponse.rt_std,order
To what extent did the music make you feel ,SAD,1.0,'1',2.035017490386963,2.035017490386963,0.0,5.0
To what extent did the music make you feel ,ANXIOUS ,1.0,'3',2.8703556060791016,2.8703556060791016,0.0,9.0
To what extent did the music make you feel ,ANGRY,1.0,'1',1.4668004512786865,1.4668004512786865,0.0,11.0
To what extent did the music make you feel ,FRUSTRATED,1.0,'1',1.5813534259796143,1.5813534259796143,0.0,8.0
To what extent did the music make you feel ,ASHAMED,1.0,'1',1.2506835460662842,1.2506835460662842,0.0,0.0
To what extent did the music make you feel ,GUILTY,1.0,'1',1.0527126789093018,1.0527126789093018,0.0,4.0
To what extent did the music make you feel ,HAPPY,1.0,'1',1.0533933639526367,1.0533933639526367,0.0,7.0
To what extent did the music make you feel ,EXCITED,1.0,'2',1.4998433589935303,1.4998433589935303,0.0,2.0
To what extent did the music make you feel ,ALERT,1.0,'4',2.3839786052703857,2.3839786052703857,0.0,3.0
To what extent did the music make you feel ,ACTIVE,1.0,'1',2.3694276809692383,2.3694276809692383,0.0,6.0
To what extent did the music make you feel ,TENDER,1.0,'1',0.7036131024360657,0.7036131024360657,0.0,1.0
To what extent did the music make you feel ,SCARED,1.0,'1',0.9024029970169067,0.9024029970169067,0.0,10.0

extraInfo
participant,092
session,001
date,2019_Aug_29_1308
expName,MusicAffectPsychophysiology2019
psychopyVersion,3.0.5
frameRate,60.03105658378838
﻿Instruction,Word,n,WordResponse.keys_raw,WordResponse.rt_mean,WordResponse.rt_raw,WordResponse.rt_std,order
To what extent did the music make you feel ,SAD,1.0,'1',0.9692612290382385,0.9692612290382385,0.0,11.0
To what extent did the music make you feel ,ANXIOUS ,1.0,'1',1.353652000427246,1.353652000427246,0.0,3.0
To what extent did the music make you feel ,ANGRY,1.0,'1',1.3361119031906128,1.3361119031906128,0.0,0.0
To what extent did the music make you feel ,FRUSTRATED,1.0,'1',1.0208427906036377,1.0208427906036377,0.0,10.0
To what extent did the music make you feel ,ASHAMED,1.0,'1',1.052868366241455,1.052868366241455,0.0,9.0
To what extent did the music make you feel ,GUILTY,1.0,'1',0.7686952352523804,0.7686952352523804,0.0,1.0
To what extent did the music make you feel ,HAPPY,1.0,'3',3.998195171356201,3.998195171356201,0.0,4.0
To what extent did the music make you feel ,EXCITED,1.0,'3',1.3023463487625122,1.3023463487625122,0.0,2.0
To what extent did the music make you feel ,ALERT,1.0,'1',4.318822860717773,4.318822860717773,0.0,5.0
To what extent did the music make you feel ,ACTIVE,1.0,'3',2.4188928604125977,2.4188928604125977,0.0,6.0
To what extent did the music make you feel ,TENDER,1.0,'1',1.2193623781204224,1.2193623781204224,0.0,7.0
To what extent did the music make you feel ,SCARED,1.0,'1',1.1506601572036743,1.1506601572036743,0.0,8.0

extraInfo
participant,092
session,001
date,2019_Aug_29_1308
expName,MusicAffectPsychophysiology2019
psychopyVersion,3.0.5
frameRate,60.03105658378838
﻿Instruction,Word,n,WordResponse.keys_raw,WordResponse.rt_mean,WordResponse.rt_raw,WordResponse.rt_std,order
To what extent did the music make you feel ,SAD,1.0,'4',2.1669554710388184,2.1669554710388184,0.0,8.0
To what extent did the music make you feel ,ANXIOUS ,1.0,'3',2.9673502445220947,2.9673502445220947,0.0,0.0
To what extent did the music make you feel ,ANGRY,1.0,'1',1.1031887531280518,1.1031887531280518,0.0,9.0
To what extent did the music make you feel ,FRUSTRATED,1.0,'1',0.9858735799789429,0.9858735799789429,0.0,7.0
To what extent did the music make you feel ,ASHAMED,1.0,'1',1.002811312675476,1.002811312675476,0.0,4.0
To what extent did the music make you feel ,GUILTY,1.0,'1',0.7683691382408142,0.7683691382408142,0.0,3.0
To what extent did the music make you feel ,HAPPY,1.0,'1',1.285698413848877,1.285698413848877,0.0,2.0
To what extent did the music make you feel ,EXCITED,1.0,'1',3.019134759902954,3.019134759902954,0.0,10.0
To what extent did the music make you feel ,ALERT,1.0,'1',2.250253915786743,2.250253915786743,0.0,5.0
To what extent did the music make you feel ,ACTIVE,1.0,'1',1.9690272808074951,1.9690272808074951,0.0,11.0
To what extent did the music make you feel ,TENDER,1.0,'1',1.2022262811660767,1.2022262811660767,0.0,1.0
To what extent did the music make you feel ,SCARED,1.0,'1',2.6360690593719482,2.6360690593719482,0.0,6.0

extraInfo
participant,092
session,001
date,2019_Aug_29_1308
expName,MusicAffectPsychophysiology2019
psychopyVersion,3.0.5
frameRate,60.03105658378838
﻿Instruction,Word,n,WordResponse.keys_raw,WordResponse.rt_mean,WordResponse.rt_raw,WordResponse.rt_std,order
To what extent did the music make you feel ,SAD,1.0,'5',2.0666091442108154,2.0666091442108154,0.0,7.0
To what extent did the music make you feel ,ANXIOUS ,1.0,'3',1.235245943069458,1.235245943069458,0.0,9.0
To what extent did the music make you feel ,ANGRY,1.0,'1',1.083693027496338,1.083693027496338,0.0,11.0
To what extent did the music make you feel ,FRUSTRATED,1.0,'1',0.9930603504180908,0.9930603504180908,0.0,4.0
