Instruction,Word,n,WordResponse.keys_raw,WordResponse.rt_mean,WordResponse.rt_raw,WordResponse.rt_std,order
To what extent did the music make you feel ,SAD,1.0,'1',2.935596466064453,2.935596466064453,0.0,11.0
To what extent did the music make you feel ,ANXIOUS ,1.0,'1',1.4360228776931763,1.4360228776931763,0.0,1.0
To what extent did the music make you feel ,ANGRY,1.0,'1',1.1019847393035889,1.1019847393035889,0.0,7.0
To what extent did the music make you feel ,FRUSTRATED,1.0,'1',1.2108352184295654,1.2108352184295654,0.0,2.0
To what extent did the music make you feel ,ASHAMED,1.0,'1',1.1691533327102661,1.1691533327102661,0.0,8.0
To what extent did the music make you feel ,GUILTY,1.0,'1',1.0022438764572144,1.0022438764572144,0.0,3.0
To what extent did the music make you feel ,HAPPY,1.0,'3',1.9166847467422485,1.9166847467422485,0.0,6.0
To what extent did the music make you feel ,EXCITED,1.0,'1',3.241602897644043,3.241602897644043,0.0,0.0
To what extent did the music make you feel ,ALERT,1.0,'1',2.185873031616211,2.185873031616211,0.0,9.0
To what extent did the music make you feel ,ACTIVE,1.0,'1',2.6535325050354004,2.6535325050354004,0.0,5.0
To what extent did the music make you feel ,TENDER,1.0,'2',1.499989628791809,1.499989628791809,0.0,10.0
To what extent did the music make you feel ,SCARED,1.0,'1',1.3361552953720093,1.3361552953720093,0.0,4.0

extraInfo
participant,105
session,001
date,2019_Sep_05_1012
expName,MusicAffectPsychophysiology2019
psychopyVersion,3.0.5
frameRate,60.022539662431086
﻿Instruction,Word,n,WordResponse.keys_raw,WordResponse.rt_mean,WordResponse.rt_raw,WordResponse.rt_std,order
To what extent did the music make you feel ,SAD,1.0,'1',1.1023101806640625,1.1023101806640625,0.0,6.0
To what extent did the music make you feel ,ANXIOUS ,1.0,'1',1.1516239643096924,1.1516239643096924,0.0,9.0
To what extent did the music make you feel ,ANGRY,1.0,'1',1.1863292455673218,1.1863292455673218,0.0,2.0
To what extent did the music make you feel ,FRUSTRATED,1.0,'1',1.4520039558410645,1.4520039558410645,0.0,8.0
To what extent did the music make you feel ,ASHAMED,1.0,'1',1.3001703023910522,1.3001703023910522,0.0,1.0
