Instruction,Word,n,WordResponse.keys_raw,WordResponse.rt_mean,WordResponse.rt_raw,WordResponse.rt_std,order
To what extent did the music make you feel ,SAD,1.0,'1',2.3185887336730957,2.3185887336730957,0.0,2.0
To what extent did the music make you feel ,ANXIOUS ,1.0,'1',1.6180325746536255,1.6180325746536255,0.0,9.0
To what extent did the music make you feel ,ANGRY,1.0,'1',2.019315719604492,2.019315719604492,0.0,11.0
To what extent did the music make you feel ,FRUSTRATED,1.0,'1',10.952515602111816,10.952515602111816,0.0,10.0
To what extent did the music make you feel ,ASHAMED,1.0,'1',2.2530531883239746,2.2530531883239746,0.0,8.0
To what extent did the music make you feel ,GUILTY,1.0,'1',2.5028059482574463,2.5028059482574463,0.0,7.0
To what extent did the music make you feel ,HAPPY,1.0,'4',3.268397331237793,3.268397331237793,0.0,6.0
To what extent did the music make you feel ,EXCITED,1.0,'3',6.051784038543701,6.051784038543701,0.0,3.0
To what extent did the music make you feel ,ALERT,1.0,'1',3.219078779220581,3.219078779220581,0.0,4.0
To what extent did the music make you feel ,ACTIVE,1.0,'4',5.525720596313477,5.525720596313477,0.0,0.0
To what extent did the music make you feel ,TENDER,1.0,'3',4.918846130371094,4.918846130371094,0.0,5.0
To what extent did the music make you feel ,SCARED,1.0,'1',3.4189817905426025,3.4189817905426025,0.0,1.0

extraInfo
participant,119
session,001
date,2019_Sep_26_1712
expName,MusicAffectPsychophysiology2019
psychopyVersion,3.0.5
frameRate,29.984772563019227
