Instruction,Word,n,WordResponse.keys_raw,WordResponse.rt_mean,WordResponse.rt_raw,WordResponse.rt_std,order
To what extent did the music make you feel ,SAD,1.0,'1',1.3524425029754639,1.3524425029754639,0.0,6.0
To what extent did the music make you feel ,ANXIOUS ,1.0,'3',2.636000633239746,2.636000633239746,0.0,3.0
To what extent did the music make you feel ,ANGRY,1.0,'1',1.5024991035461426,1.5024991035461426,0.0,11.0
To what extent did the music make you feel ,FRUSTRATED,1.0,'1',1.0193452835083008,1.0193452835083008,0.0,9.0
To what extent did the music make you feel ,ASHAMED,1.0,'1',1.017478346824646,1.017478346824646,0.0,5.0
To what extent did the music make you feel ,GUILTY,1.0,'1',1.3193458318710327,1.3193458318710327,0.0,8.0
To what extent did the music make you feel ,HAPPY,1.0,'1',0.9182448387145996,0.9182448387145996,0.0,7.0
To what extent did the music make you feel ,EXCITED,1.0,'1',4.7691216468811035,4.7691216468811035,0.0,4.0
To what extent did the music make you feel ,ALERT,1.0,'3',2.403054714202881,2.403054714202881,0.0,2.0
To what extent did the music make you feel ,ACTIVE,1.0,'1',5.918359756469727,5.918359756469727,0.0,0.0
To what extent did the music make you feel ,TENDER,1.0,'1',3.368703842163086,3.368703842163086,0.0,1.0
To what extent did the music make you feel ,SCARED,1.0,'3',4.001749038696289,4.001749038696289,0.0,10.0

extraInfo
participant,120
session,001
date,2019_Oct_23_1524
expName,MusicAffectPsychophysiology2019
psychopyVersion,3.0.5
frameRate,59.60538586640935
﻿Instruction,Word,n,WordResponse.keys_raw,WordResponse.rt_mean,WordResponse.rt_raw,WordResponse.rt_std,order
To what extent did the music make you feel ,SAD,1.0,'1',6.666604518890381,6.666604518890381,0.0,7.0
To what extent did the music make you feel ,ANXIOUS ,1.0,'1',2.1190896034240723,2.1190896034240723,0.0,1.0
To what extent did the music make you feel ,ANGRY,1.0,'1',0.6187610626220703,0.6187610626220703,0.0,3.0
To what extent did the music make you feel ,FRUSTRATED,1.0,'1',1.6019630432128906,1.6019630432128906,0.0,8.0
To what extent did the music make you feel ,ASHAMED,1.0,'1',1.0848976373672485,1.0848976373672485,0.0,5.0
To what extent did the music make you feel ,GUILTY,1.0,'1',0.7171815633773804,0.7171815633773804,0.0,2.0
To what extent did the music make you feel ,HAPPY,1.0,'4',11.240788459777832,11.240788459777832,0.0,0.0
To what extent did the music make you feel ,EXCITED,1.0,'1',7.801196098327637,7.801196098327637,0.0,10.0
To what extent did the music make you feel ,ALERT,1.0,'1',1.4856069087982178,1.4856069087982178,0.0,11.0
To what extent did the music make you feel ,ACTIVE,1.0,'1',3.5353498458862305,3.5353498458862305,0.0,9.0
To what extent did the music make you feel ,TENDER,1.0,'5',3.718842029571533,3.718842029571533,0.0,4.0
To what extent did the music make you feel ,SCARED,1.0,'1',1.668341875076294,1.668341875076294,0.0,6.0

extraInfo
participant,120
session,001
date,2019_Oct_23_1524
expName,MusicAffectPsychophysiology2019
psychopyVersion,3.0.5
frameRate,59.60538586640935
﻿Instruction,Word,n,WordResponse.keys_raw,WordResponse.rt_mean,WordResponse.rt_raw,WordResponse.rt_std,order
To what extent did the music make you feel ,SAD,1.0,'1',4.314372539520264,4.314372539520264,0.0,0.0
To what extent did the music make you feel ,ANXIOUS ,1.0,'1',1.4530346393585205,1.4530346393585205,0.0,5.0
To what extent did the music make you feel ,ANGRY,1.0,'1',1.4506738185882568,1.4506738185882568,0.0,4.0
To what extent did the music make you feel ,FRUSTRATED,1.0,'1',1.2687679529190063,1.2687679529190063,0.0,11.0
To what extent did the music make you feel ,ASHAMED,1.0,'1',1.236433982849121,1.236433982849121,0.0,9.0
To what extent did the music make you feel ,GUILTY,1.0,'1',0.686323881149292,0.686323881149292,0.0,2.0
To what extent did the music make you feel ,HAPPY,1.0,'4',10.717212677001953,10.717212677001953,0.0,10.0
To what extent did the music make you feel ,EXCITED,1.0,'1',1.2856436967849731,1.2856436967849731,0.0,7.0
To what extent did the music make you feel ,ALERT,1.0,'1',0.8490517139434814,0.8490517139434814,0.0,1.0
To what extent did the music make you feel ,ACTIVE,1.0,'1',1.6522358655929565,1.6522358655929565,0.0,6.0
To what extent did the music make you feel ,TENDER,1.0,'5',4.235439777374268,4.235439777374268,0.0,8.0
To what extent did the music make you feel ,SCARED,1.0,'1',0.6206139922142029,0.6206139922142029,0.0,3.0

extraInfo
participant,120
session,001
date,2019_Oct_23_1524
expName,MusicAffectPsychophysiology2019
psychopyVersion,3.0.5
frameRate,59.60538586640935
﻿Instruction,Word,n,WordResponse.keys_raw,WordResponse.rt_mean,WordResponse.rt_raw,WordResponse.rt_std,order
To what extent did the music make you feel ,SAD,1.0,'1',1.3012460470199585,1.3012460470199585,0.0,1.0
To what extent did the music make you feel ,ANXIOUS ,1.0,'3',1.651877999305725,1.651877999305725,0.0,11.0
To what extent did the music make you feel ,ANGRY,1.0,'1',1.2531143426895142,1.2531143426895142,0.0,4.0
To what extent did the music make you feel ,FRUSTRATED,1.0,'1',2.6026077270507812,2.6026077270507812,0.0,2.0
To what extent did the music make you feel ,ASHAMED,1.0,'1',1.015988826751709,1.015988826751709,0.0,8.0
To what extent did the music make you feel ,GUILTY,1.0,'1',8.28585433959961,8.28585433959961,0.0,9.0
To what extent did the music make you feel ,HAPPY,1.0,'1',2.1674108505249023,2.1674108505249023,0.0,5.0
To what extent did the music make you feel ,EXCITED,1.0,'1',1.5166893005371094,1.5166893005371094,0.0,6.0
To what extent did the music make you feel ,ALERT,1.0,'3',4.567793369293213,4.567793369293213,0.0,10.0
To what extent did the music make you feel ,ACTIVE,1.0,'1',5.119357585906982,5.119357585906982,0.0,3.0
To what extent did the music make you feel ,TENDER,1.0,'1',1.1861306428909302,1.1861306428909302,0.0,7.0
To what extent did the music make you feel ,SCARED,1.0,'2',2.303583860397339,2.303583860397339,0.0,0.0

extraInfo
participant,120
session,001
date,2019_Oct_23_1524
expName,MusicAffectPsychophysiology2019
psychopyVersion,3.0.5
frameRate,59.60538586640935
﻿Instruction,Word,n,WordResponse.keys_raw,WordResponse.rt_mean,WordResponse.rt_raw,WordResponse.rt_std,order
To what extent did the music make you feel ,SAD,1.0,'1',1.0849965810775757,1.0849965810775757,0.0,11.0
To what extent did the music make you feel ,ANXIOUS ,1.0,'3',4.251099109649658,4.251099109649658,0.0,10.0
To what extent did the music make you feel ,ANGRY,1.0,'1',1.1513434648513794,1.1513434648513794,0.0,4.0
To what extent did the music make you feel ,FRUSTRATED,1.0,'1',0.803375244140625,0.803375244140625,0.0,2.0
To what extent did the music make you feel ,ASHAMED,1.0,'1',0.9836805462837219,0.9836805462837219,0.0,1.0
To what extent did the music make you feel ,GUILTY,1.0,'1',1.0862581729888916,1.0862581729888916,0.0,9.0
To what extent did the music make you feel ,HAPPY,1.0,'1',3.302521228790283,3.302521228790283,0.0,7.0
To what extent did the music make you feel ,EXCITED,1.0,'1',1.1527347564697266,1.1527347564697266,0.0,5.0
To what extent did the music make you feel ,ALERT,1.0,'3',2.735191583633423,2.735191583633423,0.0,8.0
To what extent did the music make you feel ,ACTIVE,1.0,'2',6.695666790008545,6.695666790008545,0.0,0.0
To what extent did the music make you feel ,TENDER,1.0,'1',0.9706032872200012,0.9706032872200012,0.0,3.0
To what extent did the music make you feel ,SCARED,1.0,'2',3.5522608757019043,3.5522608757019043,0.0,6.0

extraInfo
participant,120
session,001
date,2019_Oct_23_1524
expName,MusicAffectPsychophysiology2019
psychopyVersion,3.0.5
frameRate,59.60538586640935
﻿Instruction,Word,n,WordResponse.keys_raw,WordResponse.rt_mean,WordResponse.rt_raw,WordResponse.rt_std,order
To what extent did the music make you feel ,SAD,1.0,'2',2.252701997756958,2.252701997756958,0.0,9.0
To what extent did the music make you feel ,ANXIOUS ,1.0,'2',9.234203338623047,9.234203338623047,0.0,11.0
To what extent did the music make you feel ,ANGRY,1.0,'1',3.0365021228790283,3.0365021228790283,0.0,6.0
To what extent did the music make you feel ,FRUSTRATED,1.0,'1',2.553128957748413,2.553128957748413,0.0,2.0
To what extent did the music make you feel ,ASHAMED,1.0,'1',1.0020374059677124,1.0020374059677124,0.0,4.0
To what extent did the music make you feel ,GUILTY,1.0,'1',0.7206559181213379,0.7206559181213379,0.0,7.0
To what extent did the music make you feel ,HAPPY,1.0,'1',10.918182373046875,10.918182373046875,0.0,1.0
To what extent did the music make you feel ,EXCITED,1.0,'1',3.085655689239502,3.085655689239502,0.0,0.0
To what extent did the music make you feel ,ALERT,1.0,'3',6.601654529571533,6.601654529571533,0.0,8.0
To what extent did the music make you feel ,ACTIVE,1.0,'1',1.8517361879348755,1.8517361879348755,0.0,10.0
To what extent did the music make you feel ,TENDER,1.0,'2',4.150429725646973,4.150429725646973,0.0,5.0
To what extent did the music make you feel ,SCARED,1.0,'3',11.715649604797363,11.715649604797363,0.0,3.0

extraInfo
participant,120
session,001
date,2019_Oct_23_1524
expName,MusicAffectPsychophysiology2019
psychopyVersion,3.0.5
frameRate,59.60538586640935
﻿Instruction,Word,n,WordResponse.keys_raw,WordResponse.rt_mean,WordResponse.rt_raw,WordResponse.rt_std,order
To what extent did the music make you feel ,SAD,1.0,'2',3.0833511352539062,3.0833511352539062,0.0,7.0
To what extent did the music make you feel ,ANXIOUS ,1.0,'2',4.635281085968018,4.635281085968018,0.0,8.0
To what extent did the music make you feel ,ANGRY,1.0,'1',0.7340993881225586,0.7340993881225586,0.0,3.0
To what extent did the music make you feel ,FRUSTRATED,1.0,'1',0.9671911597251892,0.9671911597251892,0.0,5.0
To what extent did the music make you feel ,ASHAMED,1.0,'1',0.9185893535614014,0.9185893535614014,0.0,6.0
To what extent did the music make you feel ,GUILTY,1.0,'1',1.8021401166915894,1.8021401166915894,0.0,9.0
To what extent did the music make you feel ,HAPPY,1.0,'1',10.068779945373535,10.068779945373535,0.0,10.0
To what extent did the music make you feel ,EXCITED,1.0,'1',2.8911819458007812,2.8911819458007812,0.0,0.0
To what extent did the music make you feel ,ALERT,1.0,'2',6.785504341125488,6.785504341125488,0.0,11.0
To what extent did the music make you feel ,ACTIVE,1.0,'1',1.435726523399353,1.435726523399353,0.0,2.0
To what extent did the music make you feel ,TENDER,1.0,'3',5.383588790893555,5.383588790893555,0.0,4.0
To what extent did the music make you feel ,SCARED,1.0,'1',2.269329786300659,2.269329786300659,0.0,1.0

extraInfo
participant,120
session,001
date,2019_Oct_23_1524
expName,MusicAffectPsychophysiology2019
psychopyVersion,3.0.5
frameRate,59.60538586640935
﻿Instruction,Word,n,WordResponse.keys_raw,WordResponse.rt_mean,WordResponse.rt_raw,WordResponse.rt_std,order
To what extent did the music make you feel ,SAD,1.0,'1',2.0517055988311768,2.0517055988311768,0.0,5.0
To what extent did the music make you feel ,ANXIOUS ,1.0,'1',0.7027772665023804,0.7027772665023804,0.0,6.0
To what extent did the music make you feel ,ANGRY,1.0,'1',1.5364364385604858,1.5364364385604858,0.0,9.0
To what extent did the music make you feel ,FRUSTRATED,1.0,'1',0.5127270817756653,0.5127270817756653,0.0,4.0
To what extent did the music make you feel ,ASHAMED,1.0,'1',0.8016356229782104,0.8016356229782104,0.0,10.0
To what extent did the music make you feel ,GUILTY,1.0,'1',0.6192773580551147,0.6192773580551147,0.0,3.0
To what extent did the music make you feel ,HAPPY,1.0,'3',1.9696483612060547,1.9696483612060547,0.0,8.0
To what extent did the music make you feel ,EXCITED,1.0,'1',1.0360475778579712,1.0360475778579712,0.0,2.0
To what extent did the music make you feel ,ALERT,1.0,'1',2.0530383586883545,2.0530383586883545,0.0,0.0
To what extent did the music make you feel ,ACTIVE,1.0,'1',0.6027108430862427,0.6027108430862427,0.0,1.0
To what extent did the music make you feel ,TENDER,1.0,'5',3.919384002685547,3.919384002685547,0.0,7.0
To what extent did the music make you feel ,SCARED,1.0,'1',0.9361528158187866,0.9361528158187866,0.0,11.0

extraInfo
participant,120
session,001
date,2019_Oct_23_1524
expName,MusicAffectPsychophysiology2019
psychopyVersion,3.0.5
frameRate,59.60538586640935
﻿Instruction,Word,n,WordResponse.keys_raw,WordResponse.rt_mean,WordResponse.rt_raw,WordResponse.rt_std,order
To what extent did the music make you feel ,SAD,1.0,'4',7.8857808113098145,7.8857808113098145,0.0,3.0
To what extent did the music make you feel ,ANXIOUS ,1.0,'1',1.3181177377700806,1.3181177377700806,0.0,2.0
To what extent did the music make you feel ,ANGRY,1.0,'1',0.46838170289993286,0.46838170289993286,0.0,5.0
To what extent did the music make you feel ,FRUSTRATED,1.0,'1',0.6528680324554443,0.6528680324554443,0.0,10.0
To what extent did the music make you feel ,ASHAMED,1.0,'1',1.0716148614883423,1.0716148614883423,0.0,0.0
To what extent did the music make you feel ,GUILTY,1.0,'1',0.5029312372207642,0.5029312372207642,0.0,9.0
To what extent did the music make you feel ,HAPPY,1.0,'1',5.0344767570495605,5.0344767570495605,0.0,7.0
To what extent did the music make you feel ,EXCITED,1.0,'1',1.4034268856048584,1.4034268856048584,0.0,11.0
To what extent did the music make you feel ,ALERT,1.0,'1',1.1857194900512695,1.1857194900512695,0.0,6.0
To what extent did the music make you feel ,ACTIVE,1.0,'1',1.0690850019454956,1.0690850019454956,0.0,4.0
To what extent did the music make you feel ,TENDER,1.0,'2',5.902801036834717,5.902801036834717,0.0,1.0
To what extent did the music make you feel ,SCARED,1.0,'1',1.4363981485366821,1.4363981485366821,0.0,8.0

extraInfo
participant,120
session,001
date,2019_Oct_23_1524
expName,MusicAffectPsychophysiology2019
psychopyVersion,3.0.5
frameRate,59.60538586640935
