Instruction,Word,n,WordResponse.keys_raw,WordResponse.rt_mean,WordResponse.rt_raw,WordResponse.rt_std,order
To what extent did the music make you feel ,SAD,1.0,'1',1.8349179029464722,1.8349179029464722,0.0,10.0
To what extent did the music make you feel ,ANXIOUS ,1.0,'4',4.784715175628662,4.784715175628662,0.0,4.0
To what extent did the music make you feel ,ANGRY,1.0,'3',2.8860952854156494,2.8860952854156494,0.0,9.0
To what extent did the music make you feel ,FRUSTRATED,1.0,'4',1.4259861707687378,1.4259861707687378,0.0,5.0
To what extent did the music make you feel ,ASHAMED,1.0,'1',3.670060157775879,3.670060157775879,0.0,2.0
To what extent did the music make you feel ,GUILTY,1.0,'1',1.2252562046051025,1.2252562046051025,0.0,3.0
To what extent did the music make you feel ,HAPPY,1.0,'1',3.344259023666382,3.344259023666382,0.0,0.0
To what extent did the music make you feel ,EXCITED,1.0,'1',1.3696174621582031,1.3696174621582031,0.0,8.0
To what extent did the music make you feel ,ALERT,1.0,'4',2.5173299312591553,2.5173299312591553,0.0,6.0
To what extent did the music make you feel ,ACTIVE,1.0,'2',5.635335922241211,5.635335922241211,0.0,1.0
To what extent did the music make you feel ,TENDER,1.0,'1',1.3193273544311523,1.3193273544311523,0.0,11.0
To what extent did the music make you feel ,SCARED,1.0,'1',2.969205617904663,2.969205617904663,0.0,7.0

extraInfo
participant,121
session,001
date,2019_Oct_23_1626
expName,MusicAffectPsychophysiology2019
psychopyVersion,3.0.5
frameRate,None
