Instruction,Word,pracwords.thisRepN,pracwords.thisTrialN,pracwords.thisN,pracwords.thisIndex,begin.keys,begin.rt,arousalkey.keys,arousalkey.rt,valencekey.keys,valencekey.rt,likekey.keys,likekey.rt,WordResponse.keys,WordResponse.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,space,2.0867662399996334,,,,,,,,,999,001,2019_May_07_0829,MusicAffectPsychophysiology2019,3.0.5,59.91757678221815,
,,,,,,,,1,2.8521052560008684,,,,,,,999,001,2019_May_07_0829,MusicAffectPsychophysiology2019,3.0.5,59.91757678221815,
,,,,,,,,,,1,0.45193824699981633,,,,,999,001,2019_May_07_0829,MusicAffectPsychophysiology2019,3.0.5,59.91757678221815,
,,,,,,,,,,,,1,0.5851879740002914,,,999,001,2019_May_07_0829,MusicAffectPsychophysiology2019,3.0.5,59.91757678221815,
To what extent did the music make you feel ,GUILTY,0,0,0,5,,,,,,,,,1,0.5019493640002111,999,001,2019_May_07_0829,MusicAffectPsychophysiology2019,3.0.5,59.91757678221815,
To what extent did the music make you feel ,ACTIVE,0,1,1,9,,,,,,,,,1,0.33430813100039813,999,001,2019_May_07_0829,MusicAffectPsychophysiology2019,3.0.5,59.91757678221815,
To what extent did the music make you feel ,TENDER,0,2,2,10,,,,,,,,,1,0.850723855999604,999,001,2019_May_07_0829,MusicAffectPsychophysiology2019,3.0.5,59.91757678221815,
To what extent did the music make you feel ,SAD,0,3,3,0,,,,,,,,,1,0.31829740600005607,999,001,2019_May_07_0829,MusicAffectPsychophysiology2019,3.0.5,59.91757678221815,
To what extent did the music make you feel ,EXCITED,0,4,4,7,,,,,,,,,1,0.2687725030000365,999,001,2019_May_07_0829,MusicAffectPsychophysiology2019,3.0.5,59.91757678221815,
To what extent did the music make you feel ,SCARED,0,5,5,11,,,,,,,,,1,0.28491903899976023,999,001,2019_May_07_0829,MusicAffectPsychophysiology2019,3.0.5,59.91757678221815,
To what extent did the music make you feel ,FRUSTRATED,0,6,6,3,,,,,,,,,1,0.3695996300002662,999,001,2019_May_07_0829,MusicAffectPsychophysiology2019,3.0.5,59.91757678221815,
To what extent did the music make you feel ,ANXIOUS ,0,7,7,1,,,,,,,,,1,0.2847491250004168,999,001,2019_May_07_0829,MusicAffectPsychophysiology2019,3.0.5,59.91757678221815,
To what extent did the music make you feel ,ASHAMED,0,8,8,4,,,,,,,,,1,0.3500619939995886,999,001,2019_May_07_0829,MusicAffectPsychophysiology2019,3.0.5,59.91757678221815,
To what extent did the music make you feel ,ANGRY,0,9,9,2,,,,,,,,,1,0.3184449089994814,999,001,2019_May_07_0829,MusicAffectPsychophysiology2019,3.0.5,59.91757678221815,
To what extent did the music make you feel ,ALERT,0,10,10,8,,,,,,,,,1,0.33554617800018605,999,001,2019_May_07_0829,MusicAffectPsychophysiology2019,3.0.5,59.91757678221815,
To what extent did the music make you feel ,HAPPY,0,11,11,6,,,,,,,,,1,0.33576214400000026,999,001,2019_May_07_0829,MusicAffectPsychophysiology2019,3.0.5,59.91757678221815,
