Instruction,Word,pracwords.thisRepN,pracwords.thisTrialN,pracwords.thisN,pracwords.thisIndex,songtrials.thisRepN,songtrials.thisTrialN,songtrials.thisN,songtrials.thisIndex,song,valence,arousal,affectcat,songmark,begin.keys,begin.rt,arousalkey.keys,arousalkey.rt,valencekey.keys,valencekey.rt,likekey.keys,likekey.rt,WordResponse.keys,WordResponse.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,space,2.3717042860225774,,,,,,,,,999,001,2019_Oct_23_1458,MusicAffectPsychophysiology2019,3.0.5,59.931111349042,
,,,,,,,,,,,,,,,,,1,4.018632561026607,,,,,,,999,001,2019_Oct_23_1458,MusicAffectPsychophysiology2019,3.0.5,59.931111349042,
,,,,,,,,,,,,,,,,,,,1,0.152047463983763,,,,,999,001,2019_Oct_23_1458,MusicAffectPsychophysiology2019,3.0.5,59.931111349042,
,,,,,,,,,,,,,,,,,,,,,1,0.1520834339899011,,,999,001,2019_Oct_23_1458,MusicAffectPsychophysiology2019,3.0.5,59.931111349042,
To what extent did the music make you feel ,ANXIOUS ,0,0,0,1,,,,,,,,,,,,,,,,,,1,0.05314496700884774,999,001,2019_Oct_23_1458,MusicAffectPsychophysiology2019,3.0.5,59.931111349042,
To what extent did the music make you feel ,ACTIVE,0,1,1,9,,,,,,,,,,,,,,,,,,1,0.15283296396955848,999,001,2019_Oct_23_1458,MusicAffectPsychophysiology2019,3.0.5,59.931111349042,
To what extent did the music make you feel ,ASHAMED,0,2,2,4,,,,,,,,,,,,,,,,,,1,0.13616562902461737,999,001,2019_Oct_23_1458,MusicAffectPsychophysiology2019,3.0.5,59.931111349042,
To what extent did the music make you feel ,TENDER,0,3,3,10,,,,,,,,,,,,,,,,,,1,0.1363686200347729,999,001,2019_Oct_23_1458,MusicAffectPsychophysiology2019,3.0.5,59.931111349042,
To what extent did the music make you feel ,FRUSTRATED,0,4,4,3,,,,,,,,,,,,,,,,,,1,0.1688903080066666,999,001,2019_Oct_23_1458,MusicAffectPsychophysiology2019,3.0.5,59.931111349042,
To what extent did the music make you feel ,ANGRY,0,5,5,2,,,,,,,,,,,,,,,,,,1,0.15251229499699548,999,001,2019_Oct_23_1458,MusicAffectPsychophysiology2019,3.0.5,59.931111349042,
To what extent did the music make you feel ,GUILTY,0,6,6,5,,,,,,,,,,,,,,,,,,1,0.15235349000431597,999,001,2019_Oct_23_1458,MusicAffectPsychophysiology2019,3.0.5,59.931111349042,
To what extent did the music make you feel ,EXCITED,0,7,7,7,,,,,,,,,,,,,,,,,,1,0.16973003098974004,999,001,2019_Oct_23_1458,MusicAffectPsychophysiology2019,3.0.5,59.931111349042,
To what extent did the music make you feel ,SAD,0,8,8,0,,,,,,,,,,,,,,,,,,1,0.15333245595684275,999,001,2019_Oct_23_1458,MusicAffectPsychophysiology2019,3.0.5,59.931111349042,
To what extent did the music make you feel ,SCARED,0,9,9,11,,,,,,,,,,,,,,,,,,1,0.16713117097970098,999,001,2019_Oct_23_1458,MusicAffectPsychophysiology2019,3.0.5,59.931111349042,
To what extent did the music make you feel ,ALERT,0,10,10,8,,,,,,,,,,,,,,,,,,1,0.1525373260374181,999,001,2019_Oct_23_1458,MusicAffectPsychophysiology2019,3.0.5,59.931111349042,
To what extent did the music make you feel ,HAPPY,0,11,11,6,,,,,,,,,,,,,,,,,,1,0.15290631901007146,999,001,2019_Oct_23_1458,MusicAffectPsychophysiology2019,3.0.5,59.931111349042,
